code,name,price,hsl,估算日额万,mktcap亿
300922,天秦装备,19.46,13.98,34352.0,31.3
300031,宝通科技,20.72,4.61,34265.0,86.76
002208,合肥城建,10.16,4.19,34198.0,81.61
300315,掌趣科技,4.1,3.07,34100.0,111.01
300049,福瑞医科,42.3,3.45,34095.0,111.67
002640,跨境通,3.45,6.38,34080.0,53.75
301047,义翘神州,91.94,3.1,34069.0,111.83
301182,凯旺科技,71.0,5.49,34067.0,68.03
002438,江苏神通,14.53,4.99,34002.0,73.75
301291,明阳电气,33.74,6.05,33972.0,106.13
300469,信息发展,55.9,2.45,33959.0,138.77
688003,天准科技,75.01,2.32,33918.0,146.11
301005,超捷股份,65.49,2.81,33913.0,123.1
603339,四方科技,12.54,8.72,33843.0,38.8
600691,潞化科技,3.01,4.73,33843.0,71.52
601952,苏垦农发,9.32,2.63,33782.0,128.43
688416,恒烁股份,70.91,4.4,33681.0,76.5
300004,南风股份,8.71,8.05,33664.0,41.81
300291,百纳千成,5.39,6.68,33507.0,50.77
603065,宿迁联盛,14.35,5.57,33468.0,60.12
300781,因赛集团,29.02,9.51,33438.0,47.64
300969,恒帅股份,76.91,5.55,33394.0,126.22
300480,光力科技,28.07,4.59,33371.0,103.92
688323,瑞华泰,24.74,6.73,33356.0,49.58
002766,索菱股份,4.32,9.01,33339.0,37.15
000593,德龙汇能,21.97,4.23,33334.0,78.79
000430,张家界,7.65,11.75,33309.0,61.94
300094,国联水产,3.15,9.51,33112.0,35.54
002083,孚日股份,9.9,3.53,33050.0,93.72
300163,先锋新材,7.46,9.66,33026.0,35.36
600654,中安科,3.26,4.37,33020.0,92.76
600288,大恒科技,11.16,6.77,33012.0,48.75
300872,天阳科技,16.04,4.87,32963.0,78.29
300842,帝科股份,61.79,4.12,32932.0,89.77
000970,中科三环,11.74,2.31,32931.0,142.73
300875,捷强装备,34.69,10.79,32864.0,34.63
002606,大连电瓷,13.14,5.93,32848.0,57.69
000751,锌业股份,4.95,4.09,32742.0,79.97
688448,磁谷科技,69.0,4.86,32724.0,67.29
688658,悦康药业,13.54,5.37,32723.0,60.93
300201,海伦哲,13.43,2.43,32715.0,135.51
603912,佳力图,9.15,6.58,32676.0,49.62
301191,菲菱科思,83.09,5.38,32664.0,80.51
688095,福昕软件,63.0,5.67,32614.0,57.56
600343,航天动力,18.24,2.8,32597.0,116.41
600366,宁波韵升,11.25,2.63,32534.0,123.64
300634,彩讯股份,20.3,3.69,32523.0,91.6
300551,古鳌科技,12.36,8.03,32494.0,42.03
